Tm,Year,Date,Time,LTime,,Opp,Week,G#,Day,Result,OT,Spread,vs. Line,Over/Under,OU Result
MIN,2014,12/7/14,1:02,12:02,,NYJ,14,13,Sun,W 30-24,OT,-4.5,covered,40,over
NOR,2014,11/9/14,1:03,12:03,,SFO,10,9,Sun,L 24-27,OT,-5.5,not covered,49,over
DAL,2014,10/27/14,8:30,7:30,,WAS,8,8,Mon,L 17-20,OT,-9.5,not covered,49,under
TAM,2014,10/26/14,1:03,1:03,,MIN,8,7,Sun,L 13-19,OT,-1.5,not covered,43,under
CIN,2014,10/12/14,1:03,1:03,,CAR,6,5,Sun,T 37-37,OT,-7,not covered,44,over
DAL,2014,10/5/14,1:03,12:03,,HOU,5,5,Sun,W 20-17,OT,-6.5,not covered,47,under
NOR,2014,10/5/14,1:03,12:03,,TAM,5,5,Sun,W 37-31,OT,-10,not covered,48,over
SEA,2014,9/21/14,4:25,1:25,,DEN,3,3,Sun,W 26-20,OT,-4.5,covered,48.5,under
CHI,2014,9/7/14,1:00,12:00,,BUF,1,1,Sun,L 20-23,OT,-7,not covered,47,under
NOR,2014,9/7/14,1:03,1:03,@,ATL,1,1,Sun,L 34-37,OT,-3,not covered,51.5,over
SDG,2013,12/29/13,4:26,1:26,,KAN,17,16,Sun,W 27-24,OT,-14.5,not covered,45,over
DET,2013,12/22/13,4:05,4:05,,NYG,16,15,Sun,L 20-23,OT,-9,not covered,47,under
ARI,2013,12/15/13,4:27,3:27,@,TEN,15,14,Sun,W 37-34,OT,-3,push,43,over
BUF,2013,12/1/13,4:05,4:05,,ATL,13,12,Sun,L 31-34,OT,-4.5,not covered,48,over
MIN,2013,12/1/13,1:05,12:05,,CHI,13,12,Sun,W 23-20,OT,-1,covered,48.5,under
DEN,2013,11/24/13,8:30,8:30,@,NWE,12,11,Sun,L 31-34,OT,-2.5,not covered,54,over
GNB,2013,11/24/13,1:02,12:02,,MIN,12,11,Sun,T 26-26,OT,-5.5,not covered,44.5,over
CHI,2013,11/17/13,1:02,12:02,,BAL,11,10,Sun,W 23-20,OT,-3.5,not covered,40.5,over
BAL,2013,11/10/13,1:02,1:02,,CIN,10,9,Sun,W 20-17,OT,-2,covered,44,under
SEA,2013,11/3/13,4:05,1:05,,TAM,9,9,Sun,W 27-24,OT,-14.5,not covered,40,over
WAS,2013,11/3/13,1:03,1:03,,SDG,9,8,Sun,W 30-24,OT,0,covered,49.5,over
CIN,2013,10/31/13,8:29,8:29,@,MIA,9,9,Thu,L 20-22,OT,-3,not covered,42,push
NWE,2013,10/20/13,1:03,1:03,@,NYJ,7,7,Sun,L 27-30,OT,-3,not covered,43,over
CIN,2013,10/13/13,1:02,1:02,@,BUF,6,6,Sun,W 27-24,OT,-6,not covered,41,over
SEA,2013,9/29/13,1:03,12:03,@,HOU,4,4,Sun,W 23-20,OT,-2,covered,41,over
HOU,2013,9/15/13,1:03,12:03,,TEN,2,2,Sun,W 30-24,OT,-9,not covered,42.5,over
DAL,2012,12/23/12,1:02,12:02,,NOR,16,15,Sun,L 31-34,OT,-3,not covered,54.5,over
PIT,2012,12/16/12,4:25,3:25,@,DAL,15,14,Sun,L 24-27,OT,-2.5,not covered,46,over
WAS,2012,12/9/12,1:03,1:03,,BAL,14,13,Sun,W 31-28,OT,-1.5,covered,48,over
CHI,2012,12/2/12,1:03,12:03,,SEA,13,12,Sun,L 17-23,OT,-3.5,not covered,37,over
SFO,2012,12/2/12,1:00,12:00,@,STL,13,12,Sun,L 13-16,OT,-8,not covered,41,under
BAL,2012,11/25/12,4:05,1:05,@,SDG,12,11,Sun,W 16-13,OT,-1,covered,47,under
HOU,2012,11/22/12,12:39,12:39,@,DET,12,11,Thu,W 34-31,OT,-4,not covered,49,over
DAL,2012,11/18/12,1:04,12:04,,CLE,11,10,Sun,W 23-20,OT,-7,not covered,43.5,under
HOU,2012,11/18/12,1:03,12:03,,JAX,11,10,Sun,W 43-37,OT,-15.5,not covered,40.5,over
TAM,2012,11/18/12,1:04,1:04,@,CAR,11,10,Sun,W 27-21,OT,-1.5,covered,47,over
PIT,2012,11/12/12,8:40,8:40,,KAN,10,9,Mon,W 16-13,OT,-13,not covered,40,under
SFO,2012,11/11/12,4:25,1:25,,STL,10,9,Sun,T 24-24,OT,-13,not covered,38,over
TEN,2012,10/28/12,1:06,12:06,,IND,8,8,Sun,L 13-19,OT,-3,not covered,47,under
NWE,2012,10/21/12,4:25,4:25,,NYJ,7,7,Sun,W 29-26,OT,-10.5,not covered,47,over
OAK,2012,10/21/12,4:25,1:25,,JAX,7,6,Sun,W 26-23,OT,-6,not covered,44,over
ARI,2012,10/14/12,4:05,1:05,,BUF,6,6,Sun,L 16-19,OT,-5,not covered,44,under
PHI,2012,10/14/12,1:03,1:03,,DET,6,6,Sun,L 23-26,OT,-3.5,not covered,47.5,over
ARI,2012,9/30/12,4:05,1:05,,MIA,4,4,Sun,W 24-21,OT,-4,not covered,39.5,over
DET,2012,9/23/12,1:03,12:03,@,TEN,3,3,Sun,L 41-44,OT,-4,not covered,47,over
NOR,2012,9/23/12,1:02,12:02,,KAN,3,3,Sun,L 24-27,OT,-8.5,not covered,51.5,under
NYJ,2012,9/23/12,1:03,1:03,@,MIA,3,3,Sun,W 23-20,OT,-3,push,40.5,over
MIN,2012,9/9/12,1:05,12:05,,JAX,1,1,Sun,W 26-23,OT,-3.5,not covered,38,over
